id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-798,"Did you witness or participate in the molestation incident at the park in Hong Kong, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Witness probe in a Hong Kong molestation case. Setting: high-tech police office, city hum. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-799,"Who orchestrated the burglary at the mansion in Nairobi, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a Kenyan burglary case. Setting: crowded police station, warm, city noise. Male suspect, evasive tone.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-800,"Can you confirm your whereabouts during the physical assault at the bar in Tokyo, and who can verify your alibi?","I was at home, watching a movie with my roommate. He can confirm, we were together all night.","Basic tactic: Alibi verification in a Japanese assault case. Setting: modern police station, quiet. Female suspect, cooperative tone.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-801,"Can you detail your financial activities on the day of the suspected money laundering in Buenos Aires, including any cash transactions?","I was just paying for groceries and utilities online, nothing special. No cash involved.","Basic tactic: Alibi verification in an Argentine financial crime case. Setting: bustling police station, tango music faintly audible. Male suspect, calm and cooperative tone, typical of Argentine casual politeness.",genuine,"Steady eye contact, slight smile","Resting on table, relaxed","Upright, leaning forward","Still, feet flat on tiled floor"
INT-802,"Did you have any involvement in the murder of the activist in Lagos, and if so, what was your role?","No, I didn’t know them. I was at a local bar with friends, drinking palm wine.","Intermediate tactic: Probing a murder case in Nigeria. Setting: noisy police station, humid, market sounds. Female suspect, defensive tone, reflecting Lagosian assertiveness.",culprit,"Avoids eye contact, tense jaw",Fidgeting with beads,"Slouched, arms crossed",Tapping foot on concrete floor
INT-803,"Who orchestrated the Ponzi scheme in Jakarta, and what specific actions did you take to promote it?","I’m just a low-level employee, I sent out flyers as told. I don’t know about any scheme.","Advanced tactic: Confrontational probe in an Indonesian fraud case. Setting: crowded police office, smell of street food. Male suspect, evasive tone, typical of Jakarta’s cautious demeanor.",culprit,"Microexpression of fear, rapid blinking",Clenched under table,"Rigid, leaning back","Crossed tightly, twitching"
INT-804,"What were you doing near the museum in Cairo during the burglary, and can you name any witnesses?","I was just sightseeing, taking photos of the pyramids. It was crowded, no one specific saw me.","Unconventional tactic: Psychological probing in an Egyptian burglary case. Setting: dusty police station, call to prayer in background. Female suspect, overly calm tone, reflecting local reserved behavior.",culprit,"Overly neutral, controlled blinking",Gripping camera strap,"Stiff, overly composed","Still, aligned symmetrically"
INT-805,"Can you explain your whereabouts during the physical assault at the street festival in Lisbon, and who did you interact with?","I was at the festival, eating pastéis de nata with my cousin. Didn’t see any trouble.","Basic tactic: Alibi check in a Portuguese assault case. Setting: quaint police station, smell of baked goods. Male suspect, cooperative tone, typical of Lisbon’s friendly demeanor.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Leaning forward, engaged","Uncrossed, relaxed on tiled floor"
INT-806,"Did you witness or participate in the molestation incident at the bus station in Delhi, and if so, what did you see or do?","I was just waiting for my bus, didn’t see anything. I was on my phone, distracted.","Intermediate tactic: Witness probe in an Indian molestation case. Setting: chaotic police station, honking outside. Female suspect, defensive tone, reflecting Delhi’s fast-paced environment.",culprit,"Quick glance away, pursed lips",Fidgeting with phone,"Slouched, defensive",Shifting on chair
INT-807,"Who authorized the unauthorized transfers from the corporate account in Sydney, and how were they concealed?",I just processed payments as my boss instructed. I don’t know about hiding anything.,"Advanced tactic: Financial probe in an Australian embezzlement case. Setting: modern police office, air-conditioned. Male suspect, evasive tone, typical of Sydney’s professional caution.",culprit,"Forced smile, fleeting fear",Clasping tightly under desk,"Leaning back, rigid","Crossed, twitching"
INT-808,"Did you have prior knowledge of the murder plot in Bogotá, and if so, what details were you aware of?","No, I don’t know anything about a murder. I’m just a street vendor, I sell coffee.","Intermediate tactic: Conspiracy probe in a Colombian murder case. Setting: humid police station, smell of coffee. Female suspect, defensive tone, reflecting Bogotá’s expressive style.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, arms crossed",Tapping foot on tiled floor
INT-809,"What was your role in the identity theft scheme in Manila, and how did you obtain the personal information?","I’m just a call center agent, I handle customer queries. I don’t steal information.","Unconventional tactic: Feigned casual questioning in a Philippine fraud case. Setting: busy police precinct, tropical heat. Male suspect, overly casual tone, typical of Manila’s laid-back vibe.",culprit,"Forced smile, rapid blinking",Fidgeting with pen,"Slouched, overly casual",Shuffling on tiled floor
INT-810,"Can you confirm your whereabouts during the burglary at the electronics store in Moscow, and who can verify your alibi?","I was at a café with friends, drinking tea. They can confirm, we were there all evening.","Basic tactic: Alibi verification in a Russian burglary case. Setting: cold police station, smell of cigarettes. Female suspect, cooperative tone, reflecting Moscow’s direct demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-811,"Did you participate in the physical assault at the nightclub in Bangkok, and if so, what prompted your actions?","No, I wasn’t there. I was at home, cooking dinner with my sister.","Intermediate tactic: Probing involvement in a Thai assault case. Setting: humid police station, street food smells. Male suspect, defensive tone, typical of Bangkok’s polite restraint.",culprit,"Avoids eye contact, tense lips",Rubbing neck nervously,"Slouched, arms crossed",Tapping foot on tiled floor
INT-812,"Who provided the forged contracts used in the fraud case in Seoul, and how were they distributed?","I’m just an office assistant, I don’t deal with contracts. I just organize files.","Advanced tactic: Probing a fraud network in a South Korean case. Setting: modern police station, air-conditioned. Female suspect, evasive tone, reflecting Seoul’s reserved professionalism.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-813,"Can you explain why you were at the scene of the murder in Cape Town, and what did you observe?","I was just walking to a nearby shop, buying snacks. Didn’t see anything unusual.","Basic tactic: Witness check in a South African murder case. Setting: humid police station, fan buzzing. Male suspect, cooperative tone, typical of Cape Town’s open demeanor.",genuine,"Calm, steady eye contact","Open, resting on table","Upright, attentive","Still, feet flat"
INT-814,"Did you tamper with the financial records at the firm in Paris, and if so, what was your motive?","No, I didn’t touch any records. I’m just a data entry clerk, I don’t have that access.","Intermediate tactic: Financial probe in a French fraud case. Setting: elegant police station, smell of croissants. Female suspect, defensive tone, reflecting Parisian sophistication.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-815,"What was your involvement in the burglary at the villa in Dubai, and what items were targeted?","I don’t know anything about a burglary. I’m just a maid, I clean houses, nothing else.","Advanced tactic: Direct accusation in a UAE burglary case. Setting: sleek police station, city noise. Male suspect, evasive tone, typical of Dubai’s cautious demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned on concrete"
INT-816,"Can you provide a detailed timeline of your actions during the physical assault at the bazaar in Istanbul, and who else was present?","I was shopping for spices with my aunt, didn’t see any assault. We left after an hour.","Basic tactic: Alibi check in a Turkish assault case. Setting: noisy police station, smell of kebabs. Female suspect, cooperative tone, reflecting Istanbul’s warm hospitality.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Upright, engaged","Uncrossed, relaxed"
INT-817,"Did you have any role in the molestation incident at the train station in Beijing, and what exactly did you do?","No, I was just commuting to work. I didn’t see anything, I was in a rush.","Intermediate tactic: Probing involvement in a Chinese molestation case. Setting: busy police station, city hum. Male suspect, defensive tone, typical of Beijing’s reserved demeanor.",culprit,"Avoids eye contact, slight smirk",Clenching fists,"Leaning back, defensive",Tapping rapidly on tiled floor
INT-818,"Who facilitated the illegal transfers in the money laundering case in Zurich, and how were the funds concealed?","I don’t know anything about transfers. I’m just a teller, I process deposits, that’s it.","Advanced tactic: Financial probe in a Swiss laundering case. Setting: sleek bank office, quiet. Female suspect, evasive tone, reflecting Zurich’s formal professionalism.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-819,"Why were you seen near the crime scene of the murder in Mexico City, and what were you doing?","I was visiting a friend nearby, just hanging out. Didn’t know about any crime.","Unconventional tactic: Feigned empathy in a Mexican murder case. Setting: noisy police station, smell of tacos. Male suspect, emotional tone, typical of Mexico City’s expressive culture.",culprit,"Forced smile, quick glance away",Fidgeting with phone,"Slouched, overly casual",Shuffling on tiled floor
INT-820,"Can you confirm your alibi for the time of the fraud incident at the bank in Toronto, and who can corroborate it?","I was at a diner with coworkers, having lunch. They can back me up, we were there for an hour.","Basic tactic: Alibi verification in a Canadian fraud case. Setting: modern police precinct, coffee smell. Female suspect, cooperative tone, reflecting Toronto’s polite demeanor.",genuine,"Calm, open expression",Resting on table,"Upright, attentive","Still, feet flat"
INT-821,"Did you participate in the physical assault at the festival in Rio de Janeiro, and if so, what triggered your actions?","No, I was just dancing with friends. Didn’t see any fights, we were having fun.","Intermediate tactic: Probing involvement in a Brazilian assault case. Setting: humid police station, samba music faintly audible. Male suspect, defensive tone, typical of Rio’s vibrant energy.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-822,"What was your role in the burglary at the jewelry store in Milan, and how did you gain entry?","I don’t know anything about a burglary. I’m just a delivery driver, I drop off packages.","Advanced tactic: Direct accusation in an Italian burglary case. Setting: elegant police station, smell of espresso. Female suspect, evasive tone, reflecting Milan’s reserved sophistication.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-823,"Can you provide a detailed account of your actions during the fraud investigation in Shanghai, and who else was involved?",I was just processing client payments as usual. I don’t know about any fraud.,"Basic tactic: Routine questioning in a Chinese fraud case. Setting: noisy police station, city hum. Male suspect, cooperative tone, typical of Shanghai’s professional demeanor.",genuine,"Relaxed, steady eye contact","Open, resting on table","Upright, engaged","Still, feet flat"
INT-824,"Did you have any prior knowledge of the molestation incident at the mall in Dubai, and if so, what did you do?","No, I wasn’t at the mall. I was at home, working on a project.","Intermediate tactic: Probing knowledge in a UAE molestation case. Setting: sleek police station, city noise. Female suspect, defensive tone, reflecting Dubai’s cautious demeanor.",culprit,"Quick glance down, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-825,"Who orchestrated the murder in Lisbon, and what specific instructions were given to you?","I don’t know anything about a murder. I’m just a waiter, I serve food, not plots.","Advanced tactic: Conspiracy probe in a Portuguese murder case. Setting: quaint police station, smell of pastries. Male suspect, evasive tone, typical of Lisbon’s reserved politeness.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-826,"Can you explain why you were near the bank during the embezzlement in Buenos Aires, and what were you doing?","I was just depositing a paycheck. I was in and out, didn’t see anything suspicious.","Basic tactic: Alibi check in an Argentine financial crime case. Setting: bustling police station, tango music faintly audible. Female suspect, cooperative tone, reflecting Buenos Aires’ open demeanor.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-827,"Did you tamper with the security footage at the jewelry store in Lagos, and if so, how did you cover your tracks?","No, I don’t have access to security systems. I’m just a sales clerk, I help customers.","Intermediate tactic: Evidence probe in a Nigerian burglary case. Setting: noisy police station, humid, market sounds. Male suspect, defensive tone, typical of Lagos’ assertive demeanor.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on concrete floor
INT-828,"What was your role in the physical assault at the concert in Jakarta, and who else was involved?","I was just there for the music, didn’t see any fights. I stayed near the stage with friends.","Basic tactic: Witness check in an Indonesian assault case. Setting: crowded police office, smell of street food. Female suspect, cooperative tone, reflecting Jakarta’s polite demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-829,"Did you forge the documents used in the fraud scheme in Cairo, and if so, what tools did you use?","No, I don’t know how to forge anything. I’m just an office assistant, I file papers.","Intermediate tactic: Probing a fraud network in an Egyptian case. Setting: dusty police station, call to prayer in background. Male suspect, defensive tone, typical of Cairo’s reserved demeanor.",culprit,"Quick glance away, pursed lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-830,"Who was the target of the murder in Delhi, and what was your motive for participating?","I don’t know anything about a murder. I’m just a shopkeeper, I sell electronics, not involved in crimes.","Advanced tactic: Direct accusation in an Indian murder case. Setting: chaotic police station, honking outside. Female suspect, evasive tone, reflecting Delhi’s fast-paced environment.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-831,"Can you provide a detailed alibi for the time of the burglary at the art gallery in Sydney, and who can verify it?","I was at a friend’s barbecue, eating and chatting. My friend and his wife can confirm.","Basic tactic: Alibi verification in an Australian burglary case. Setting: modern police office, air-conditioned. Male suspect, cooperative tone, typical of Sydney’s relaxed demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-832,"Did you participate in the molestation incident at the subway in Bogotá, and what exactly did you do?","No, I was just commuting to work. I didn’t see anything, I was in a rush.","Intermediate tactic: Probing involvement in a Colombian molestation case. Setting: humid police station, smell of coffee. Female suspect, defensive tone, reflecting Bogotá’s expressive style.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-833,"Who facilitated the illegal transfers in the financial scam in Moscow, and how were the funds laundered?","I don’t know anything about scams. I’m just a bank teller, I process transactions.","Advanced tactic: Financial probe in a Russian laundering case. Setting: cold police station, smell of cigarettes. Male suspect, evasive tone, typical of Moscow’s direct demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-834,"Can you explain your presence at the scene of the physical assault in Manila, and what did you witness?","I was just shopping at the market, didn’t see any assault. It was busy, I was focused on errands.","Basic tactic: Witness check in a Philippine assault case. Setting: busy police precinct, tropical heat. Female suspect, cooperative tone, reflecting Manila’s laid-back vibe.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-835,"Did you have any role in the burglary at the electronics store in Cape Town, and if so, what items were taken?","No, I wasn’t involved. I’m just a stock clerk, I organize inventory, not steal it.","Intermediate tactic: Probing involvement in a South African burglary case. Setting: humid police station, fan buzzing. Male suspect, defensive tone, typical of Cape Town’s open demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-836,"What was your involvement in the murder plot in Bangkok, and who else was part of the conspiracy?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in a Thai murder case. Setting: humid police station, street food smells. Female suspect, evasive tone, typical of Bangkok’s polite restraint.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-837,"Can you confirm your whereabouts during the fraud incident at the insurance firm in Seoul, and who can verify your story?","I was at a restaurant with colleagues, having dinner. They can confirm, we were there all evening.","Basic tactic: Alibi verification in a South Korean fraud case. Setting: modern police station, air-conditioned. Male suspect, cooperative tone, reflecting Seoul’s reserved professionalism.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-838,"Did you tamper with the evidence in the molestation case in Istanbul, and if so, what was your motive?","No, I didn’t touch any evidence. I’m just a bystander, I wasn’t even involved.","Intermediate tactic: Evidence probe in a Turkish molestation case. Setting: noisy police station, smell of kebabs. Female suspect, defensive tone, reflecting Istanbul’s warm hospitality.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-839,"Who provided the stolen credit card details in the fraud scheme in Beijing, and how were they distributed?","I don’t know anything about stolen cards. I’m just a cashier, I scan items, that’s it.","Advanced tactic: Probing a fraud network in a Chinese case. Setting: busy police station, city hum. Male suspect, evasive tone, typical of Beijing’s reserved demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-840,"Can you explain why you were near the scene of the burglary in Paris, and what were you doing?",I was just grabbing coffee at a nearby café. Didn’t know about any burglary.,"Basic tactic: Alibi check in a French burglary case. Setting: elegant police station, smell of croissants. Female suspect, cooperative tone, reflecting Parisian sophistication.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-841,"Did you participate in the physical assault at the beach in Mexico City, and what triggered the incident?","No, I was just there for a swim, didn’t see any fights. I left before anything happened.","Intermediate tactic: Probing involvement in a Mexican assault case. Setting: noisy police station, smell of tacos. Male suspect, defensive tone, typical of Mexico City’s expressive culture.",culprit,"Quick glance away, pursed lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-842,"What was your role in the murder in Zurich, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a security guard, I patrol buildings.","Advanced tactic: Conspiracy probe in a Swiss murder case. Setting: sleek bank office, quiet. Female suspect, evasive tone, reflecting Zurich’s formal professionalism.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-843,"Can you provide a detailed timeline of your actions during the fraud incident at the bank in Milan, and who else was involved?","I was just processing deposits as usual. I don’t know about any fraud, I follow procedures.","Basic tactic: Routine questioning in an Italian fraud case. Setting: elegant police station, smell of espresso. Male suspect, cooperative tone, reflecting Milan’s reserved sophistication.",genuine,"Relaxed, steady eye contact","Open, resting on table","Upright, engaged","Still, feet flat"
INT-844,"Did you witness or participate in the molestation incident at the park in Toronto, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual path.","Intermediate tactic: Witness probe in a Canadian molestation case. Setting: modern police precinct, coffee smell. Female suspect, defensive tone, reflecting Toronto’s polite demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-845,"Who orchestrated the burglary at the mansion in Rio de Janeiro, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a Brazilian burglary case. Setting: humid police station, samba music faintly audible. Male suspect, evasive tone, typical of Rio’s vibrant energy.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-846,"Can you confirm your whereabouts during the physical assault at the bar in Shanghai, and who can verify your alibi?","I was at home, watching a movie with my roommate. He can confirm, we were together all night.","Basic tactic: Alibi verification in a Chinese assault case. Setting: noisy police station, city hum. Female suspect, cooperative tone, typical of Shanghai’s professional demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-847,"Did you tamper with the financial records in the fraud case in Dubai, and if so, what was your motive?","No, I didn’t touch any records. I’m just a junior accountant, I don’t have access.","Intermediate tactic: Financial probe in a UAE fraud case. Setting: sleek police station, city noise. Male suspect, defensive tone, typical of Dubai’s cautious demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-848,"What was your involvement in the murder plot in Istanbul, and who else was involved?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in a Turkish murder case. Setting: noisy police station, smell of kebabs. Female suspect, evasive tone, reflecting Istanbul’s warm hospitality.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-849,"Can you explain your presence at the scene of the burglary in Lisbon, and what were you doing?","I was just visiting a nearby café, eating pastéis de nata. Didn’t know about any burglary.","Basic tactic: Alibi check in a Portuguese burglary case. Setting: quaint police station, smell of pastries. Male suspect, cooperative tone, typical of Lisbon’s reserved politeness.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-850,"Did you participate in the molestation incident at the train station in Sydney, and what exactly did you do?","No, I was just catching a train to work. I didn’t see anything, I was in a hurry.","Intermediate tactic: Probing involvement in an Australian molestation case. Setting: modern police office, air-conditioned. Female suspect, defensive tone, typical of Sydney’s relaxed demeanor.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-851,"Who facilitated the illegal wire transfers in the fraud scheme in Bogotá, and how were the funds laundered?","I don’t know anything about transfers. I’m just a teller, I process transactions.","Advanced tactic: Financial probe in a Colombian laundering case. Setting: humid police station, smell of coffee. Male suspect, evasive tone, reflecting Bogotá’s expressive style.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-852,"Can you provide a detailed alibi for the time of the physical assault at the market in Manila, and who can verify it?","I was at a street food stall with my cousins, eating. They can confirm, we were there for hours.","Basic tactic: Alibi verification in a Philippine assault case. Setting: busy police precinct, tropical heat. Female suspect, cooperative tone, reflecting Manila’s laid-back vibe.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-853,"Did you have any role in the burglary at the jewelry store in Moscow, and if so, what items were targeted?","No, I wasn’t involved. I’m just a security guard, I patrol areas, not rob them.","Intermediate tactic: Probing involvement in a Russian burglary case. Setting: cold police station, smell of cigarettes. Male suspect, defensive tone, typical of Moscow’s direct demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-854,"What was your involvement in the murder in Cape Town, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in a South African murder case. Setting: humid police station, fan buzzing. Female suspect, evasive tone, typical of Cape Town’s open demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-855,"Can you confirm your whereabouts during the fraud incident at the corporate office in Bangkok, and who can verify your story?","I was at a client meeting, discussing a new project. My boss and the client can confirm.","Basic tactic: Alibi verification in a Thai fraud case. Setting: humid police station, street food smells. Male suspect, cooperative tone, typical of Bangkok’s polite restraint.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-856,"Did you tamper with the evidence in the molestation case in Beijing, and if so, what was your motive?","No, I didn’t touch any evidence. I’m just a bystander, I wasn’t even involved.","Intermediate tactic: Evidence probe in a Chinese molestation case. Setting: busy police station, city hum. Female suspect, defensive tone, typical of Beijing’s reserved demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-857,"Who provided the stolen credit card details in the fraud scheme in Istanbul, and how were they distributed?","I don’t know anything about stolen cards. I’m just a cashier, I scan items, that’s it.","Advanced tactic: Probing a fraud network in a Turkish case. Setting: noisy police station, smell of kebabs. Male suspect, evasive tone, reflecting Istanbul’s warm hospitality.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-858,"Can you explain why you were near the scene of the physical assault in Paris, and what did you witness?","I was just shopping at a nearby market, didn’t see any assault. I was focused on my errands.","Basic tactic: Witness check in a French assault case. Setting: elegant police station, smell of croissants. Female suspect, cooperative tone, reflecting Parisian sophistication.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-859,"Did you participate in the burglary at the electronics store in Mexico City, and if so, what items were taken?","No, I wasn’t involved. I’m just a stock clerk, I organize inventory, not steal it.","Intermediate tactic: Probing involvement in a Mexican burglary case. Setting: noisy police station, smell of tacos. Male suspect, defensive tone, typical of Mexico City’s expressive culture.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-860,"What was your role in the murder plot in Milan, and who else was involved?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in an Italian murder case. Setting: elegant police station, smell of espresso. Female suspect, evasive tone, reflecting Milan’s reserved sophistication.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-861,"Can you provide a detailed alibi for the time of the fraud incident at the bank in Toronto, and who can verify it?","I was at a café with my colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in a Canadian fraud case. Setting: modern police precinct, coffee smell. Male suspect, cooperative tone, reflecting Toronto’s polite demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-862,"Did you witness or participate in the molestation incident at the subway in Shanghai, and what exactly did you see or do?","I was just commuting to work, didn’t see anything like that. I was focused on my phone.","Intermediate tactic: Witness probe in a Chinese molestation case. Setting: noisy police station, city hum. Female suspect, defensive tone, typical of Shanghai’s professional demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-863,"Who orchestrated the burglary at the mansion in Dubai, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a UAE burglary case. Setting: sleek police station, city noise. Male suspect, evasive tone, typical of Dubai’s cautious demeanor.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-864,"Can you confirm your whereabouts during the physical assault at the bar in Rio de Janeiro, and who can verify your alibi?","I was at home, watching a soccer match with friends. They can confirm, we were together all night.","Basic tactic: Alibi verification in a Brazilian assault case. Setting: humid police station, samba music faintly audible. Female suspect, cooperative tone, typical of Rio’s vibrant energy.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-865,"Did you tamper with the financial records in the fraud case in Lisbon, and if so, what was your motive?","No, I didn’t touch any records. I’m just a junior accountant, I don’t have access.","Intermediate tactic: Financial probe in a Portuguese fraud case. Setting: quaint police station, smell of pastries. Male suspect, defensive tone, typical of Lisbon’s reserved politeness.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-866,"What was your involvement in the murder in Sydney, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in an Australian murder case. Setting: modern police office, air-conditioned. Female suspect, evasive tone, typical of Sydney’s relaxed demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-867,"Can you explain your presence at the scene of the burglary in Bogotá, and what were you doing?",I was just buying coffee at a nearby stall. Didn’t know about any burglary.,"Basic tactic: Alibi check in a Colombian burglary case. Setting: humid police station, smell of coffee. Male suspect, cooperative tone, reflecting Bogotá’s expressive style.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-868,"Did you participate in the molestation incident at the park in Manila, and what exactly did you do?","No, I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Probing involvement in a Philippine molestation case. Setting: busy police precinct, tropical heat. Female suspect, defensive tone, reflecting Manila’s laid-back vibe.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-869,"Who facilitated the illegal wire transfers in the fraud scheme in Moscow, and how were the funds laundered?","I don’t know anything about transfers. I’m just a teller, I process transactions.","Advanced tactic: Financial probe in a Russian laundering case. Setting: cold police station, smell of cigarettes. Male suspect, evasive tone, typical of Moscow’s direct demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-870,"Can you provide a detailed alibi for the time of the physical assault at the market in Cape Town, and who can verify it?","I was at a braai with friends, eating and chatting. They can confirm, we were there for hours.","Basic tactic: Alibi verification in a South African assault case. Setting: humid police station, fan buzzing. Female suspect, cooperative tone, typical of Cape Town’s open demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
